"GeographyKey","City","StateProvinceCode","StateProvinceName","CountryRegionCode","EnglishCountryRegionName","SpanishCountryRegionName","FrenchCountryRegionName","PostalCode","SalesTerritoryKey","IpAddressLocator"
"1","Alexandria","NSW","New South Wales","AU","Australia","Australia","Australie","2015","9","198.51.100.2"
"2","Coffs Harbour","NSW","New South Wales","AU","Australia","Australia","Australie","2450","9","198.51.100.3"
"3","Darlinghurst","NSW","New South Wales","AU","Australia","Australia","Australie","2010","9","198.51.100.4"
"4","Goulburn","NSW","New South Wales","AU","Australia","Australia","Australie","2580","9","198.51.100.5"
"5","Lane Cove","NSW","New South Wales","AU","Australia","Australia","Australie","1597","9","198.51.100.6"
"6","Lavender Bay","NSW","New South Wales","AU","Australia","Australia","Australie","2060","9","198.51.100.7"
"7","Malabar","NSW","New South Wales","AU","Australia","Australia","Australie","2036","9","198.51.100.8"
"8","Matraville","NSW","New South Wales","AU","Australia","Australia","Australie","2036","9","198.51.100.9"
"9","Milsons Point","NSW","New South Wales","AU","Australia","Australia","Australie","2061","9","198.51.100.10"
"10","Newcastle","NSW","New South Wales","AU","Australia","Australia","Australie","2300","9","198.51.100.11"
"11","North Ryde","NSW","New South Wales","AU","Australia","Australia","Australie","2113","9","198.51.100.12"
"12","North Sydney","NSW","New South Wales","AU","Australia","Australia","Australie","2055","9","198.51.100.13"
"13","Port Macquarie","NSW","New South Wales","AU","Australia","Australia","Australie","2444","9","198.51.100.14"
"14","Rhodes","NSW","New South Wales","AU","Australia","Australia","Australie","2138","9","198.51.100.15"
"15","Silverwater","NSW","New South Wales","AU","Australia","Australia","Australie","2264","9","198.51.100.16"
"16","Springwood","NSW","New South Wales","AU","Australia","Australia","Australie","2777","9","198.51.100.17"
"17","St. Leonards","NSW","New South Wales","AU","Australia","Australia","Australie","2065","9","198.51.100.18"
"18","Sydney","NSW","New South Wales","AU","Australia","Australia","Australie","1002","9","198.51.100.19"
"19","Wollongong","NSW","New South Wales","AU","Australia","Australia","Australie","2500","9","198.51.100.20"
"20","Brisbane","QLD","Queensland","AU","Australia","Australia","Australie","4000","9","198.51.100.21"
"21","Caloundra","QLD","Queensland","AU","Australia","Australia","Australie","4551","9","198.51.100.22"
"22","East Brisbane","QLD","Queensland","AU","Australia","Australia","Australie","4169","9","198.51.100.23"
"23","Gold Coast","QLD","Queensland","AU","Australia","Australia","Australie","4217","9","198.51.100.24"
"24","Hawthorne","QLD","Queensland","AU","Australia","Australia","Australie","4171","9","198.51.100.25"
"25","Hervey Bay","QLD","Queensland","AU","Australia","Australia","Australie","4655","9","198.51.100.26"
"26","Rockhampton","QLD","Queensland","AU","Australia","Australia","Australie","4700","9","198.51.100.27"
"27","Townsville","QLD","Queensland","AU","Australia","Australia","Australie","4810","9","198.51.100.28"
"28","Cloverdale","SA","South Australia","AU","Australia","Australia","Australie","6105","9","198.51.100.29"
"29","Findon","SA","South Australia","AU","Australia","Australia","Australie","5023","9","198.51.100.30"
"30","Perth","SA","South Australia","AU","Australia","Australia","Australie","6006","9","198.51.100.31"
"31","Hobart","TAS","Tasmania","AU","Australia","Australia","Australie","7001","9","198.51.100.32"
"32","Bendigo","VIC","Victoria","AU","Australia","Australia","Australie","3550","9","198.51.100.33"
"33","Cranbourne","VIC","Victoria","AU","Australia","Australia","Australie","3977","9","198.51.100.34"
"34","Geelong","VIC","Victoria","AU","Australia","Australia","Australie","3220","9","198.51.100.35"
"35","Melbourne","VIC","Victoria","AU","Australia","Australia","Australie","3000","9","198.51.100.36"
