"ResellerKey","GeographyKey","ResellerAlternateKey","Phone","BusinessType","ResellerName","NumberEmployees","OrderFrequency","OrderMonth","FirstOrderYear","LastOrderYear","ProductLine","AddressLine1","AddressLine2","AnnualSales","BankName","MinPaymentType","MinPaymentAmount","AnnualRevenue","YearOpened"
"1","637","AW00000001","245-555-0173","Value Added Reseller","A Bike Store","2","S","5","2011","2011","Road","2251 Elliot Avenue","","300000.0000","International Bank","","","30000.0000","1974"
"2","635","AW00000002","170-555-0127","Specialty Bike Shop","Progressive Sports","10","A","5","2012","2013","Mountain","3207 S Grady Way","","800000.0000","International Security","1","","80000.0000","1976"
"3","584","AW00000003","279-555-0130","Warehouse","Advanced Bike Components","40","Q","6","2011","2013","Road","12345 Sterling Avenue","","1500000.0000","Primary International","2","","150000.0000","1978"
"4","572","AW00000004","710-555-0173","Value Added Reseller","Modular Cycle Systems","5","S","4","2011","2013","Road","800 Interchange Blvd.","Suite 2501","300000.0000","United Security","3","600.0000","30000.0000","1980"
"5","322","AW00000005","828-555-0186","Specialty Bike Shop","Metropolitan Sports Supply","13","A","6","2012","2013","Road","482505 Warm Springs Blvd.","","800000.0000","Primary Bank & Reserve","","","80000.0000","1982"
"6","303","AW00000006","244-555-0112","Warehouse","Aerobic Exercise Company","43","Q","6","2013","2013","Road","39933 Mission Oaks Blvd","","1500000.0000","Guardian Bank","1","","150000.0000","1984"
"7","599","AW00000007","192-555-0173","Value Added Reseller","Associated Bikes","8","S","4","2011","2012","Mountain","5420 West 22500 South","","300000.0000","Reserve Security","2","","30000.0000","1986"
"8","409","AW00000008","872-555-0171","Specialty Bike Shop","Exemplary Cycles","16","A","5","2013","2013","Touring","79945 Corporate Center Drive","","800000.0000","International Bank","3","600.0000","80000.0000","1988"
"9","568","AW00000009","488-555-0130","Warehouse","Tandem Bicycle Store","46","Q","5","2012","2013","Mountain","3333 Micro Drive","","1500000.0000","International Security","3","1000.0000","150000.0000","1990"
"10","44","AW00000010","150-555-0127","Value Added Reseller","Rural Cycle Emporium","11","S","6","2012","2013","Mountain","6388 Lake City Way","","800000.0000","Primary International","2","","80000.0000","1992"
"11","96","AW00000011","926-555-0159","Specialty Bike Shop","Sharp Bikes","19","A","5","2011","2011","Mountain","52560 Free Street","","800000.0000","United Security","1","","80000.0000","1994"
"12","96","AW00000012","112-555-0191","Warehouse","Bikes and Motorbikes","49","Q","5","2012","2013","Road","22580 Free Street","","1500000.0000","Primary Bank & Reserve","","","150000.0000","1996"
"13","211","AW00000013","1 (11) 500 555-0127","Value Added Reseller","Country Parts Shop","14","S","","","","Road","7033, rue de Longchamp","","800000.0000","Guardian Bank","1","","80000.0000","1998"
"14","167","AW00000014","1 (11) 500 555-0167","Specialty Bike Shop","Bicycle Warehouse Inc.","22","A","6","2013","2013","Mountain","Karl Liebknecht str 299","","1000000.0000","Reserve Security","2","","100000.0000","2000"
"15","6","AW00000015","1 (11) 500 555-0140","Warehouse","Budget Toy Store","52","Q","6","2013","2013","Mountain","25 Epping Road","","3000000.0000","International Bank","3","600.0000","300000.0000","2002"
"16","247","AW00000016","1 (11) 500 555-0132","Value Added Reseller","Bulk Discount Store","17","S","6","2012","2013","Road","93-2501, Blackfriars Road,","","800000.0000","International Security","","","80000.0000","2004"
"17","605","AW00000017","497-555-0147","Specialty Bike Shop","Trusted Catalog Store","25","A","4","2010","2013","Mountain","9920 Picketts Line Road","","1000000.0000","Primary International","1","","100000.0000","2005"
"18","474","AW00000018","440-555-0132","Warehouse","Catalog Store","55","Q","5","2011","2013","Mountain","855 East Main Avenue","","3000000.0000","United Security","2","","300000.0000","2003"
"19","610","AW00000019","521-555-0195","Value Added Reseller","Center Cycle Shop","20","S","4","2012","2012","Road","99300 223rd Southeast","","1000000.0000","Primary Bank & Reserve","3","600.0000","100000.0000","2004"
"20","622","AW00000020","582-555-0113","Specialty Bike Shop","Central Discount Store","28","A","6","2011","2013","Mountain","259826 Russell Rd. South","","1000000.0000","Guardian Bank","3","600.0000","100000.0000","1975"
"21","584","AW00000021","928-555-0116","Warehouse","Chic Department Stores","58","Q","6","2012","2013","Mountain","90025 Sterling St","","3000000.0000","Reserve Security","2","","300000.0000","2003"
"22","561","AW00000022","121-555-0121","Value Added Reseller","Travel Systems","19","S","5","2011","2013","Road","2505 Gateway Drive","","800000.0000","International Bank","1","","80000.0000","1979"
"23","364","AW00000023","216-555-0122","Specialty Bike Shop","Bike World","31","A","6","2012","2013","Mountain","60025 Bollinger Canyon Road","","1500000.0000","International Security","","","150000.0000","2002"
"24","376","AW00000024","926-555-0164","Warehouse","Eastside Department Store","61","Q","6","2012","2013","Road","9992 Whipple Rd","","3000000.0000","Primary International","1","","300000.0000","1983"
"25","317","AW00000025","357-555-0161","Value Added Reseller","Coalition Bike Company","18","S","6","2012","2013","Mountain","Corporate Office","","800000.0000","United Security","2","","80000.0000","2001"
"26","409","AW00000026","418-555-0115","Specialty Bike Shop","Stylish Department Stores","34","A","6","2011","2011","Road","1 Corporate Center Drive","","1500000.0000","Primary Bank & Reserve","3","600.0000","150000.0000","1987"
